timestamp,bpm,complexity,preset,chord_progression,output_filename,number_of_events
2026-05-13T12:45:51.033669,100,2,Batch,C G Am F,output_100_c2_20260513_124551.mid,68
2026-05-13T12:45:51.038545,100,3,Batch,C G Am F,output_100_c3_20260513_124551.mid,108
2026-05-13T12:45:51.040925,120,1,Batch,C G Am F,output_120_c1_20260513_124551.mid,32
2026-05-13T12:45:51.044172,120,2,Batch,C G Am F,output_120_c2_20260513_124551.mid,68
2026-05-13T12:45:51.048907,120,3,Batch,C G Am F,output_120_c3_20260513_124551.mid,108
2026-05-13T12:45:51.050925,140,1,Batch,C G Am F,output_140_c1_20260513_124551.mid,32
2026-05-13T12:45:51.053613,140,2,Batch,C G Am F,output_140_c2_20260513_124551.mid,68
2026-05-13T12:45:51.057002,140,3,Batch,C G Am F,output_140_c3_20260513_124551.mid,108
2026-05-14T20:49:25.459719,135,3,Cognitive Stimulation,C G Am F,output_135_c3_20260514_204925.mid,108
2026-05-15T13:24:49.821687,70,1,Relaxation,C G Am F,output_70_c1_20260515_132449.mid,32
2026-05-15T13:25:06.361771,60,1,Batch,C G Am F,output_60_c1_20260515_132506.mid,32
2026-05-15T13:25:06.368431,60,2,Batch,C G Am F,output_60_c2_20260515_132506.mid,68
2026-05-15T13:25:06.375436,60,3,Batch,C G Am F,output_60_c3_20260515_132506.mid,108
2026-05-15T13:25:06.377731,80,1,Batch,C G Am F,output_80_c1_20260515_132506.mid,32
2026-05-15T13:25:06.381628,80,2,Batch,C G Am F,output_80_c2_20260515_132506.mid,68
2026-05-15T13:25:06.387346,80,3,Batch,C G Am F,output_80_c3_20260515_132506.mid,108
2026-05-15T13:25:06.389684,100,1,Batch,C G Am F,output_100_c1_20260515_132506.mid,32
2026-05-15T13:25:06.392813,100,2,Batch,C G Am F,output_100_c2_20260515_132506.mid,68
2026-05-15T13:25:06.396868,100,3,Batch,C G Am F,output_100_c3_20260515_132506.mid,108
2026-05-15T13:25:06.398517,120,1,Batch,C G Am F,output_120_c1_20260515_132506.mid,32
2026-05-15T13:25:06.401576,120,2,Batch,C G Am F,output_120_c2_20260515_132506.mid,68
2026-05-15T13:25:06.405996,120,3,Batch,C G Am F,output_120_c3_20260515_132506.mid,108
2026-05-15T13:25:06.407120,140,1,Batch,C G Am F,output_140_c1_20260515_132506.mid,32
2026-05-15T13:25:06.408943,140,2,Batch,C G Am F,output_140_c2_20260515_132506.mid,68
2026-05-15T13:25:06.411884,140,3,Batch,C G Am F,output_140_c3_20260515_132506.mid,108
2026-05-15T13:47:09.515236,70,1,Relaxation,C G Am F,output_70_c1_20260515_134709.mid,32
2026-05-15T13:47:52.712508,60,1,Batch,C G Am F,output_60_c1_20260515_134752.mid,32
2026-05-15T13:47:52.717217,60,2,Batch,C G Am F,output_60_c2_20260515_134752.mid,68
2026-05-15T13:47:52.723758,60,3,Batch,C G Am F,output_60_c3_20260515_134752.mid,108
2026-05-15T13:47:52.728194,80,1,Batch,C G Am F,output_80_c1_20260515_134752.mid,32
2026-05-15T13:47:52.732460,80,2,Batch,C G Am F,output_80_c2_20260515_134752.mid,68
2026-05-15T13:47:52.738123,80,3,Batch,C G Am F,output_80_c3_20260515_134752.mid,108
2026-05-15T13:47:52.739855,100,1,Batch,C G Am F,output_100_c1_20260515_134752.mid,32
2026-05-15T13:47:52.742315,100,2,Batch,C G Am F,output_100_c2_20260515_134752.mid,68
2026-05-15T13:47:52.746123,100,3,Batch,C G Am F,output_100_c3_20260515_134752.mid,108
2026-05-15T13:47:52.747952,120,1,Batch,C G Am F,output_120_c1_20260515_134752.mid,32
2026-05-15T13:47:52.750304,120,2,Batch,C G Am F,output_120_c2_20260515_134752.mid,68
2026-05-15T13:47:52.753501,120,3,Batch,C G Am F,output_120_c3_20260515_134752.mid,108
2026-05-15T13:47:52.754604,140,1,Batch,C G Am F,output_140_c1_20260515_134752.mid,32
2026-05-15T13:47:52.756548,140,2,Batch,C G Am F,output_140_c2_20260515_134752.mid,68
2026-05-15T13:47:52.759511,140,3,Batch,C G Am F,output_140_c3_20260515_134752.mid,108
2026-05-16T14:52:15.438365,70,1,Relaxation,C G Am F,output_70_c1_20260516_145215.mid,32
2026-05-16T14:53:06.263639,60,1,Batch,C G Am F,output_60_c1_20260516_145306.mid,32
2026-05-16T14:53:06.269214,60,2,Batch,C G Am F,output_60_c2_20260516_145306.mid,68
2026-05-16T14:53:06.276420,60,3,Batch,C G Am F,output_60_c3_20260516_145306.mid,108
2026-05-16T14:53:06.278581,80,1,Batch,C G Am F,output_80_c1_20260516_145306.mid,32
2026-05-16T14:53:06.281782,80,2,Batch,C G Am F,output_80_c2_20260516_145306.mid,68
2026-05-16T14:53:06.286349,80,3,Batch,C G Am F,output_80_c3_20260516_145306.mid,108
2026-05-16T14:53:06.288485,100,1,Batch,C G Am F,output_100_c1_20260516_145306.mid,32
2026-05-16T14:53:06.291909,100,2,Batch,C G Am F,output_100_c2_20260516_145306.mid,68
2026-05-16T14:53:06.295907,100,3,Batch,C G Am F,output_100_c3_20260516_145306.mid,108
2026-05-16T14:53:06.297970,120,1,Batch,C G Am F,output_120_c1_20260516_145306.mid,32
2026-05-16T14:53:06.300719,120,2,Batch,C G Am F,output_120_c2_20260516_145306.mid,68
2026-05-16T14:53:06.304133,120,3,Batch,C G Am F,output_120_c3_20260516_145306.mid,108
2026-05-16T14:53:06.305259,140,1,Batch,C G Am F,output_140_c1_20260516_145306.mid,32
2026-05-16T14:53:06.307315,140,2,Batch,C G Am F,output_140_c2_20260516_145306.mid,68
2026-05-16T14:53:06.310073,140,3,Batch,C G Am F,output_140_c3_20260516_145306.mid,108
